Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day,Email_id,Contact,Instagram Link,Facebook Link,Website Link
Vivek Video & Mixing Lab,Patna,No Reviews,Photo + Video,"35,000",per day,None,,,None,https://www.facebook.com/DailyMotivationByVivekBindra/videos/,
Dream Wedding Studios,Patliputra Colony,No Reviews,Photo + Video,"35,000",per day,None,,,https://www.instagram.com/dreamwedding.studios/?hl=en,https://www.facebook.com/Dreamwedding163/,
Chimera Replica,Rukanpura,No Reviews,Photo + Video,"55,000",per day,None,,,None,None,
Fusion Studio,Kankarbagh,No Reviews,Photo + Video,"65,000",per day,None,,,None,https://www.facebook.com/fusionstudio.bel/,
Zorean's Click Studio,Patna,No Reviews,Photo + Video,"35,000",per day,None,,,None,https://www.facebook.com/zoreandz/,
New Tej Chhaya Studio,Patna,No Reviews,Photo + Video,"1,00,000",per day,None,,,None,https://www.facebook.com/pages/category/Photographer/New-TEJ-Chhaya-Studio-698259560219596/,
FOTO ART,Patliputra Colony,No Reviews,Photo + Video,"85,000",per day,None,,,None,https://www.facebook.com/fotoart.patna/,
Photoshine Studio,Danapur,No Reviews,Photo + Video,"45,000",per day,None,,,None,https://www.facebook.com/photoshinestudio/,
KUMaaR Photography by Kumar Gautam,Kankarbagh,No Reviews,Photo + Video,"30,000",per day,None,,,https://www.instagram.com/kumaarphotography/?hl=en,https://www.facebook.com/kumaarphotography/,
Group Art Studio,Patna,No Reviews,Photo + Video,"50,000",per day,None,,,None,https://m.facebook.com/artstudiosanok/groups/?ref=page_internal&mt_nav=0,
Bombay Photography Studio,Patliputra Colony,No Reviews,Photo + Video,"45,000",per day,None,,,None,https://www.facebook.com/pages/category/Photography-Videography/Bombay-Studio-2015619821783345/,
FotoZone by Sahil Singh,Rajendra Nagar,No Reviews,Photo + Video,"65,000",per day,None,,,https://www.instagram.com/fotozonestudio/?hl=en,https://www.facebook.com/fotozonestudio.in/,
Deep Studio,Bakarganj,No Reviews,Photo + Video,"26,000",per day,None,,,None,https://m.facebook.com/Deep-studio-345375316147775/,
Yellow Studios,Rukanpura,No Reviews,Photo + Video,"23,000",per day,None,,,https://www.instagram.com/yellow_studios/?hl=en,https://www.facebook.com/pages/category/Interior-Design-Studio/Yellow-Studios-1717985508486646/,
KPM Lab & Photography,Bakarganj,No Reviews,Photo + Video,"45,000",per day,None,,,https://www.instagram.com/kpmlab/?hl=en,https://www.facebook.com/pages/category/Local-Service/KPM-LAB-104706104406295/,
