Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day,Email_id,Contact,Instagram Link,Facebook Link,Website Link
Sri Fashion Studio,Visakhapatnam,No Reviews,Photo + Video,"45,000",per day,None,,,None,https://www.facebook.com/srifashionstudio.sfs/,
Sairam Photography,Visakhapatnam,No Reviews,Photo + Video,"1,80,000",per day,None,,,https://www.instagram.com/sairamphotographyy/,https://www.facebook.com/pages/category/Photography-Videography/Sairam-Photography-2782706535136128/,
Dezienday Photography,Akkayyapalem,No Reviews,Photo + Video,"50,000",per day,None,,,None,https://www.facebook.com/dezienday.photography.vizag/,
Sreeraj Editings,Akkayyapalem,No Reviews,Photo + Video,"45,000",per day,None,,,https://www.instagram.com/sreeraj_vizag/,https://m.facebook.com/SREERAJ-EDITINGS-VIZAG-106269537490530/,
Vinayaghar Images,Akkayyapalem,No Reviews,Photo + Video,"45,000",per day,None,,,None,https://www.facebook.com/Kamesh119/,
Divya Digital Studio,Akkayyapalem,No Reviews,Photo + Video,"65,000",per day,None,,,https://www.instagram.com/_divya_digital_studio_/?hl=en,https://www.facebook.com/divyaddigital4u/,
SSR Images Studio,Kancharapalem,No Reviews,Photo + Video,"70,000",per day,None,,,None,https://www.facebook.com/pages/category/Photographer/SSR-Foto-studio-1612208985696405/,
Flamingo Photography,Madhurawada,No Reviews,Photo + Video,"70,000",per day,None,,,None,None,
Praveen Images,Dwaraka Nagar,No Reviews,Photo + Video,"1,50,000",per day,None,,,None,https://www.facebook.com/public/Praveen-Photos,
V' Images Photography,Visakhapatnam,No Reviews,Photo + Video,"50,000",per day,None,,,None,https://www.facebook.com/V-Images-photography-1468797536667813/,
Rahul Katikala Photography,Gajuwaka,No Reviews,Photo + Video,"75,000",per day,None,,,https://www.instagram.com/rahul_katikala/?hl=en,https://www.facebook.com/rahul.rkphotography/photos/,
Balaji Studio,Bheemili,No Reviews,Photo + Video,"38,000",per day,None,,,None,https://www.facebook.com/Balajistudio/,
Shutterspeed Photography,Visakhapatnam,No Reviews,Photo + Video,"1,90,000",per day,None,,,None,None,
Charishma Digital Photo Studio,Allipuram,No Reviews,Photo + Video,"45,000",per day,None,,,None,https://www.facebook.com/samjhanadigitalphotostudio/,
MK Studios,MVP Colony,No Reviews,Photo + Video,"60,000",per day,None,,,https://www.instagram.com/mk_studio_official/?hl=en,https://www.facebook.com/mkstudiosfanpage/,
Kartikeya Photography,Asilmetta,No Reviews,Photo + Video,"32,500",per day,None,,,None,https://www.facebook.com/KarthikeyaPhotography/,
Madhu Studio,Arilova,No Reviews,Photo + Video,"45,000",per day,None,,,https://www.instagram.com/madhu.digitals.jmd/?hl=en,https://www.facebook.com/madhuclicks57/,
Ezepix Studio,Dwaraka Nagar,No Reviews,Photo + Video,"70,000",per day,None,,,None,https://www.facebook.com/ezepixstudio/,
Yelleti's Snap Shot Studio,Gajuwaka,No Reviews,Photo + Video,"50,000",per day,None,,,None,https://www.facebook.com/snapshotstudiophotography/,
LC Photography,Pedagantyada,No Reviews,Photo + Video,"60,000",per day,None,,,https://www.instagram.com/_lcphoto/?hl=en,https://www.facebook.com/lcp2001/,
Universal Digital Studio,Seethammadara,No Reviews,Photo + Video,"50,000",per day,None,,,None,https://www.facebook.com/Universal-Digital-Studio-243350659523699/,
Am Studios,Visakhapatnam,No Reviews,Photo + Video,"1,20,000",per day,None,,,None,https://www.facebook.com/786amstudios/,
Murty N Murty Video & Photos,Visakhapatnam,No Reviews,Photo + Video,"34,000",per day,None,,,None,None,
Sai Jyothi Digital Photo Studio,Gajuwaka,No Reviews,Photo + Video,"35,000",per day,None,,,None,None,
Virat Photography,Visakhapatnam,No Reviews,Photo + Video,"60,000",per day,None,,,https://www.instagram.com/virat.kohli/?hl=en,https://www.facebook.com/Karteekron/,
Anils Angel Studio,Arilova,No Reviews,Photo + Video,"70,000",per day,None,,,None,None,
Vizagities Photography,Visakhapatnam,No Reviews,Photo + Video,"34,500",per day,None,,,https://www.instagram.com/vizagities_photography/?hl=en,https://www.facebook.com/vizagiteis.govind/,
NG Fotographie,Gajuwaka,No Reviews,Photo + Video,"34,500",per day,None,,,https://www.instagram.com/ng_imaging/?hl=en,https://www.facebook.com/pages/category/Photographer/NG-Photography-1955236181448857/,
Yuva Gream Photo Studio,Akkayyapalem,No Reviews,Photo + Video,"2,50,000",per day,None,,,None,https://www.facebook.com/YUVA-DREAM-Foundation-994240464102522/,
Studio N Portraits,Gajuwaka,No Reviews,Photo + Video,"50,000",per day,None,,,None,https://www.facebook.com/narulastudion/,
Sandeep Pantula Photography,Dwaraka Nagar,No Reviews,Photo Package,"25,000",per day,None,,,None,https://www.facebook.com/sandeeppantulaphotography/,
Charles Photography,Marripalem,No Reviews,Photo + Video,"1,40,000",per day,None,,,https://www.instagram.com/zakicharles/?hl=en,https://www.facebook.com/charlesphotographyvizag/,
Jagadesh Photography,Aganampudi,No Reviews,Photo + Video,"34,500",per day,None,,,https://www.instagram.com/jacks_lifeinpixels/?hl=en,https://www.facebook.com/JAGADESHPICS,
Foto Fantasy,Akkayyapalem,No Reviews,Photo + Video,"80,000",per day,None,,,None,https://www.facebook.com/Team.fotofantasy/,
Poorna Studio Photos & Videos,Kurmannapalem,No Reviews,Photo + Video,"32,000",per day,None,,,None,https://www.facebook.com/Poorna-studio-527957823990543/,
Melon Photography,Akkayyapalem,No Reviews,Photo + Video,"25,000",per day,None,,,None,https://www.facebook.com/PortraitMiss/,
KN Photography,MVP Colony,No Reviews,Photo + Video,"55,000",per day,None,,,https://www.instagram.com/kn__photography_/?hl=en,https://www.facebook.com/pages/category/Professional-Service/KN-photography-980917895363682/,
Tales by Mohith,Seethammadara,No Reviews,Photo + Video,"1,00,000",per day,None,,,https://www.instagram.com/mohitbhardwajphotography/?hl=en,https://www.facebook.com/talesbymohith/?ref=py_c&__xts__=-R,
VK Photography,Kancharapalem,No Reviews,Photo + Video,"31,000",per day,None,,,None,https://www.facebook.com/varun0909/,
Team R Studios,Maddilapalem,No Reviews,Photo + Video,"30,000",per day,None,,,None,https://www.facebook.com/teamrstudioss/,
