Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day,Email_id,Contact,Instagram Link,Facebook Link,Website Link
Udan Photo Wedding Photography,Rajkot,No Reviews,Photo + Video,"40,000",per day,None,,,None,https://www.facebook.com/udanphoto/,
The Light Sight,Rajkot,No Reviews,Photo + Video,"52,000",per day,None,,,None,None,
J.D. Photography,Rajkot,No Reviews,Photo Package,"28,000",per day,None,,,https://www.instagram.com/jd_photography.in/?hl=en,https://www.facebook.com/pages/category/Photographer/JD-Photography-352841015210647/,
Prayosha Pictures,Rajkot,No Reviews,Photo + Video,"50,000",per day,None,,,None,https://www.facebook.com/prayosha.pictures/,
Studio Sapna,Rajkot,No Reviews,Photo Package,"33,000",per day,None,,,None,https://www.facebook.com/thestudiosapna/,
Emotions Studio,Rajkot,No Reviews,Photo + Video,"70,000",per day,None,,,https://www.instagram.com/emotions_studios/?hl=en,https://www.facebook.com/emotionsstudio.co.in/,
Studio City Flash,Rajkot,No Reviews,Photo + Video,"2,00,000",per day,None,,,https://www.instagram.com/cityflashstudio/?hl=en,https://www.facebook.com/StudioCityFlash/,
Jenish Harsora Photography,Rajkot,No Reviews,Photo + Video,"30,000",per day,None,,,https://www.instagram.com/jenishharsora__/?hl=en,None,
Rajesh Jagani Photography,Rajkot,No Reviews,Photo + Video,"45,000",per day,None,,,https://www.instagram.com/raj8413/?hl=en,https://www.facebook.com/rajesh.jagani.9,
Mahendra Patel Photography - Rareview Production,Rajkot,No Reviews,Photo + Video,"60,000",per day,None,,,None,https://www.facebook.com/mahendrapatelphotography/,
Dzire Studio,Rajkot,No Reviews,Photo + Video,"50,000",per day,None,,,None,None,
Smile Photo The Wedding Photographer,Rajkot,No Reviews,Photo + Video,"50,000",per day,None,,,None,https://www.facebook.com/Smile-Photo-The-Wedding-Photographer-1594217827306992/,
Udan Studio,Rajkot,No Reviews,Photo + Video,"40,000",per day,None,,,https://www.instagram.com/udan_studio/?hl=en,https://www.facebook.com/udanphoto/,
Aamir Jasdanwala Productions,Rajkot,No Reviews,Photo + Video,"50,000",per day,None,,,None,https://www.facebook.com/aamir.masnur,
Wedding Frame Studio,Rajkot,No Reviews,Photo + Video,"1,00,000",per day,None,,,https://www.instagram.com/firstframe.studio/?hl=en,https://www.facebook.com/pages/category/Gift-Shop/Wedding-Frame-Studio-101878261194827/,
Saathiya Studio,Rajkot,No Reviews,Photo + Video,"32,000",per day,None,,,https://www.instagram.com/saathiya_studio/?hl=en,https://www.facebook.com/SaathiyaStudio/,
Nirav Jani Photography,Rajkot,No Reviews,Photo + Video,"35,000",per day,None,,,https://www.instagram.com/niravjaniphotography/?hl=en,https://www.facebook.com/niravjaniphotography/,
Foto Factory,Rajkot,No Reviews,Photo + Video,"45,000",per day,None,,,https://www.instagram.com/the_foto_factory_/?hl=en,https://www.facebook.com/thefotofactory.in/,
Shree Hatkesh Photography,Rajkot,No Reviews,Photo + Video,"50,000",per day,None,,,None,https://www.facebook.com/PathakDevarshi/,
Ravi Gajjar Photography,Rajkot,No Reviews,Photo Package,"45,000",per day,None,,,None,https://www.facebook.com/pages/category/Photographer/Ravi-gajjar-Photography-487645141370859/,
Sharad Patel Photography,Rajkot,No Reviews,Photo + Video,"33,000",per day,None,,,https://www.instagram.com/cutieboysharad/?hl=en,None,
Studio Shree Indian Wedding Photography,Rajkot,No Reviews,Photo + Video,"40,000",per day,None,,,None,https://www.facebook.com/Studio-Shree-Indian-Wedding-Photography-115011031938554/,
Fenny Digital Studio,Rajkot,No Reviews,Photo + Video,"60,000",per day,None,,,https://www.instagram.com/fenny_digital_studio/,https://www.facebook.com/fenny_digital_photo-1950850301685492/posts,
Shailesh Gosai Photography,Rajkot,No Reviews,Photo Package,"18,000",per day,None,,,https://www.instagram.com/shailesh.gosai.376/?hl=en,https://www.facebook.com/public/Shailesh-Gosai,
Ankur Studio,Rajkot,No Reviews,Photo + Video,"38,000",per day,None,,,https://www.instagram.com/ankur.studio/?hl=en,https://www.facebook.com/ankurdigitalstudio94/,
Wedding Framer,3.0,Rajkot,1 review,Photo + Video,"45,000",per day,,,https://www.instagram.com/theweddingframer/?hl=en,https://www.facebook.com/weddingframer/,
Studio Photo Flash,Rajkot,No Reviews,Photo + Video,"25,000",per day,None,,,None,https://www.facebook.com/studiorajkot/,
